### Module positions - created on 2025-07-28 10:51
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 100.050mm, Pcb Width 160.053mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
R57           10k                 R_0805_2012Metric_Pad1.20x1.. 137.1548   -58.9510   136.1548   -58.9510      0.0    top       SMD
R58           1M                  R_0805_2012Metric_Pad1.20x1.. 170.5500   -115.8500  171.5500   -115.8500    18.0    top       SMD
R59           100                 R_0805_2012Metric_Pad1.20x1.. 167.2000   -115.1125  167.2000   -116.1125     9.0    top       SMD
R60           10k                 R_0805_2012Metric_Pad1.20x1.. 170.6750   -119.9625  170.6750   -118.9625    -9.0    top       SMD
R61           1M                  R_0805_2012Metric_Pad1.20x1.. 175.7750   -103.3260  176.7750   -103.3260    18.0    top       SMD
R62           100                 R_0805_2012Metric_Pad1.20x1.. 172.6000   -102.6760  172.6000   -103.6760     9.0    top       SMD
R63           10k                 R_0805_2012Metric_Pad1.20x1.. 175.8250   -107.6885  175.8250   -106.6885    -9.0    top       SMD
R64           1M                  R_0805_2012Metric_Pad1.20x1.. 179.1875   -115.8625  180.1875   -115.8625    18.0    top       SMD
R65           1M                  R_0805_2012Metric_Pad1.20x1.. 167.4000   -103.7260  168.4000   -103.7260    18.0    top       SMD
R66           100                 R_0805_2012Metric_Pad1.20x1.. 176.1375   -115.2250  176.1375   -116.2250     9.0    top       SMD
R67           10k                 R_0805_2012Metric_Pad1.20x1.. 179.5875   -119.8500  179.5875   -118.8500    -9.0    top       SMD
R68           100                 R_0805_2012Metric_Pad1.20x1.. 163.7000   -103.0010  163.7000   -104.0010     9.0    top       SMD
R69           1M                  R_0805_2012Metric_Pad1.20x1.. 184.3250   -103.2010  185.3250   -103.2010    18.0    top       SMD
R70           100                 R_0805_2012Metric_Pad1.20x1.. 181.1125   -102.5135  181.1125   -103.5135     9.0    top       SMD
R71           10k                 R_0805_2012Metric_Pad1.20x1.. 184.5875   -107.6135  184.5875   -106.6135    -9.0    top       SMD
R72           10k                 R_0805_2012Metric_Pad1.20x1.. 167.5000   -107.9385  167.5000   -106.9385    -9.0    top       SMD
R73           1M                  R_0805_2012Metric_Pad1.20x1.. 187.9125   -115.6000  188.9125   -115.6000    18.0    top       SMD
R74           100                 R_0805_2012Metric_Pad1.20x1.. 184.8000   -114.8000  184.8000   -115.8000     9.0    top       SMD
R75           10k                 R_0805_2012Metric_Pad1.20x1.. 188.3250   -119.7625  188.3250   -118.7625    -9.0    top       SMD
R76           1M                  R_0805_2012Metric_Pad1.20x1.. 193.2500   -103.4510  194.2500   -103.4510    18.0    top       SMD
